3989,"Lopresti, Jack",Conservative,2014-15,oversees_visit,2014-05-06,1250.0,False,Donor: Conservative Friends of Israel Ltd,
3989,"Lopresti, Jack",Conservative,2014-15,oversees_visit,2014-10-10,1370.0,False,Donor:   HM Government of Gibraltar,
3989,"Lopresti, Jack",Conservative,2014-15,oversees_visit,2014-10-21,2000.0,False,Donor: Ubertas Group,
3989,"Lopresti, Jack",Conservative,2013-14,oversees_visit,2013-01-16,6600.0,False,Donor:   Majlis As Shura - Shura Council of Kingdom Saudi Arabia,
3989,"Lopresti, Jack",Conservative,2013-14,oversees_visit,2013-11-07,1116.0,False,Donor: HM Government of Gibraltar,
3989,"Lopresti, Jack",Conservative,2012-13,oversees_visit,2012-01-23,1416.0,False,Donor: Australia Israel Cultural Exchange,
3989,"Lopresti, Jack",Conservative,2012-13,oversees_visit,2012-09-06,771.0,False,Donor: United States Embassy,
3989,"Lopresti, Jack",Conservative,2012-13,oversees_visit,2012-10-29,820.0,False,Donor: H M Government of Gibraltar,
3989,"Lopresti, Jack",Conservative,2012-13,oversees_visit,2013-01-16,6600.0,False,Donor:   Majlis As Shura - Shura Council of Kingdom Saudi Arabia,
3989,"Lopresti, Jack",Conservative,2011-12,oversees_visit,2011-03-10,100.0,False,Donor: Conservative Friends of Israel,
