id,list_name,party,session,type,date,value,donated_to_charity,description,sub_entry
3958,"Bruce, Fiona",Conservative,2014-15,employment,2014-12-29,19277.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:",
3958,"Bruce, Fiona",Conservative,2013-14,employment,2013-12-04,1166.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:",
3958,"Bruce, Fiona",Conservative,2012-13,employment,2012-01-16,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","December 2011, £1,117.  Hours: 4 hrs. (Registered 16 January 2012)"
3958,"Bruce, Fiona",Conservative,2012-13,employment,2012-02-06,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","January 2012, £1,117.  Hours: 4.5 hrs. (Registered 6 February 2012)"
3958,"Bruce, Fiona",Conservative,2012-13,employment,2012-03-05,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","February 2012, £1,117.  Hours: 3 hrs. (Registered 5 March 2012)"
3958,"Bruce, Fiona",Conservative,2012-13,employment,2012-04-02,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","March 2012, £1,117.  Hours: 8.5 hrs. (Registered 2 April 2012)"
3958,"Bruce, Fiona",Conservative,2012-13,employment,2012-05-02,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","April 2012, £1,117.  Hours: 4.5 hrs. (Registered 2 May 2012)"
3958,"Bruce, Fiona",Conservative,2012-13,employment,2012-05-14,16562.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","April 2012, £16,562.  No additional hours. (Registered 14 May 2012)"
3958,"Bruce, Fiona",Conservative,2012-13,employment,2012-06-21,6667.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","May 2012, £6,667. No additional hours. (Registered 21 June 2012)"
3958,"Bruce, Fiona",Conservative,2012-13,employment,2012-07-02,1166.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","June 2012, £1,166.  Hours: 4 hrs. (Registered 2 July 2012)"
3958,"Bruce, Fiona",Conservative,2012-13,employment,2012-07-02,6667.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","June 2012, £6,667.  No additional hours. (Registered 2 July 2012)"
3958,"Bruce, Fiona",Conservative,2011-12,employment,2010-09-23,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","August 2010, £1,117. Hours: 8 hrs. (Registered 23 September 2010)"
3958,"Bruce, Fiona",Conservative,2011-12,employment,2010-11-03,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","September 2010, £1,117. Hours: 8 hrs. (Registered 3 November 2010)"
3958,"Bruce, Fiona",Conservative,2011-12,employment,2010-11-03,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","October 2010, £1,117. Hours: 6 hrs. (Registered 3 November 2010)"
3958,"Bruce, Fiona",Conservative,2011-12,employment,2010-12-06,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","November 2010, £1,117. Hours: 6 hrs. (Registered 6 December 2010)"
3958,"Bruce, Fiona",Conservative,2011-12,employment,2011-01-10,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","December 2010, £1,117.  Hours: 4 hrs. (Registered 10 January 2011)"
3958,"Bruce, Fiona",Conservative,2011-12,employment,2011-02-10,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","January 2011, £1,117.  Hours: 6 hrs. (Registered 10 February 2011)"
3958,"Bruce, Fiona",Conservative,2011-12,employment,2011-03-01,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","February 2011, £1,117.  Hours: 6 hrs. (Registered 1 March 2011)"
3958,"Bruce, Fiona",Conservative,2011-12,employment,2011-04-01,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","March 2011, £1,117.  Hours: 5 hrs. (Registered 1 April 2011)"
3958,"Bruce, Fiona",Conservative,2011-12,employment,2011-05-05,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","April 2011, £1,117.  Hours: 4 hrs. (Registered 5 May 2011)"
3958,"Bruce, Fiona",Conservative,2011-12,employment,2011-06-07,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","May 2011, £1,117.  Hours: 5 hrs. (Registered 7 June 2011)"
3958,"Bruce, Fiona",Conservative,2011-12,employment,2011-07-05,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","June 2011, £1,117.  Hours: 2 hrs. (Registered 5 July 2011)"
3958,"Bruce, Fiona",Conservative,2011-12,employment,2011-08-04,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","July 2011, £1,117.  Hours: 1 hr. (Registered 4 August 2011)"
3958,"Bruce, Fiona",Conservative,2011-12,employment,2011-09-12,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","August 2011, £1,117.  Hours: 6 hrs. (Registered 12 September 2011)"
3958,"Bruce, Fiona",Conservative,2011-12,employment,2011-10-10,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","September 2011, £1,117.  Hours: 7 hrs. (Registered 10 October 2011)"
3958,"Bruce, Fiona",Conservative,2011-12,employment,2011-11-07,1117.0,False,"Fiona Bruce & Co LLP; solicitors practice.  Address:  Justice House, 3 Grappenhall Rd, Stockton Heath, Warrington WA4 2AH.  Consultancy fees received:","October 2011, £1,117.  Hours: 5 hrs. (Registered 7 November 2011)"
